Modo,Modelo,Modelo_contrario,Finalizado,Resultado,Jaque,Mate,Ahogado,Material,Regla75,Repeticion5,Numero_de_movimientos
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,59
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,113
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,70
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,77
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,61
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,87
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,62
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,63
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,69
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,65
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,77
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,82
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,65
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,67
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,83
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,59
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,99
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,75
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,81
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,69
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,79
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,76
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,61
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,85
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,65
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,56
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,73
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,79
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,91
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,59
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,67
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,66
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,55
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,61
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,59
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,71
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,101
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,61
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,79
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,70
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,71
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,62
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,73
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,63
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,60
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,63
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,95
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,71
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,73
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,61
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,59
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,113
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,70
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,77
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,61
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,87
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,62
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,63
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,69
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,65
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,77
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,82
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,65
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,67
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,83
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,59
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,99
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,75
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,81
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,69
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,79
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,76
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,61
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,85
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,65
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,56
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,73
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,79
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,91
bot_vs_bot_interno,Hatchet1,Hatchet1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,59
